Method,Model,Accuracy,Precision,F1 Score,ROC-AUC
Correlation,Random Forest,0.9473684210526315,0.9459459459459459,0.958904109589041,0.9923941798941799
Correlation,Decision Tree,0.9122807017543859,0.918918918918919,0.9315068493150684,0.9007936507936508
Correlation,SVM,0.9649122807017544,0.9857142857142858,0.971830985915493,0.9957010582010581
Correlation,Naive Bayes,0.8859649122807017,0.927536231884058,0.9078014184397163,0.9533730158730159
Correlation,KNN,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9950396825396824
PCA,Random Forest,0.9210526315789473,0.9436619718309859,0.9370629370629371,0.9849537037037037
PCA,Decision Tree,0.9122807017543859,0.9305555555555556,0.9305555555555556,0.9057539682539683
PCA,SVM,0.9736842105263158,0.9859154929577465,0.9790209790209791,0.9950396825396826
PCA,Naive Bayes,0.9210526315789473,0.9315068493150684,0.9379310344827586,0.9708994708994709
PCA,KNN,0.956140350877193,0.958904109589041,0.9655172413793104,0.9788359788359788
LDA,Random Forest,0.9210526315789473,0.9846153846153847,0.9343065693430657,0.9869378306878306
LDA,Decision Tree,0.9210526315789473,0.9846153846153847,0.9343065693430657,0.9325396825396824
LDA,SVM,0.9736842105263158,0.9726027397260274,0.9793103448275862,0.9923941798941799
LDA,Naive Bayes,0.9649122807017544,0.9594594594594594,0.9726027397260274,0.9923941798941799
LDA,KNN,0.956140350877193,0.971830985915493,0.965034965034965,0.9875992063492064
SVD,Random Forest,0.9210526315789473,0.9436619718309859,0.9370629370629371,0.9849537037037037
SVD,Decision Tree,0.9122807017543859,0.9305555555555556,0.9305555555555556,0.9057539682539683
SVD,SVM,0.9736842105263158,0.9859154929577465,0.9790209790209791,0.9950396825396826
SVD,Naive Bayes,0.9210526315789473,0.9315068493150684,0.9379310344827586,0.9708994708994709
SVD,KNN,0.956140350877193,0.958904109589041,0.9655172413793104,0.9788359788359788
